"country","good_wines_percentage","excellent_wines_percentage","excellent_wines_number","good_wines_number","total_number"
"US","60.99","0.70","351","30632","50226"
"France","63.15","1.26","249","12465","19739"
"Italy","60.76","0.73","130","10816","17801"
"Spain","45.36","0.37","22","2731","6021"
"Portugal","55.80","0.73","38","2914","5222"
"Chile","33.09","0.00","0","1382","4177"
"Argentina","38.08","0.08","3","1349","3543"
"Austria","84.32","1.03","31","2548","3022"
"Australia","61.89","0.96","21","1351","2183"
"Germany","81.31","1.31","26","1618","1990"
