"winery","country","avg_price","avg_score","ranking"
"Fantelli","Argentina","150.00","90.00","1"
"Aquilina","Argentina","150.00","89.00","2"
"Ca' de Calle","Argentina","175.00","89.50","3"
"Soluna","Argentina","180.00","89.00","4"
"Bodegas Fabre","Argentina","183.33","90.00","5"
"Finca Lalande","Argentina","184.29","88.71","6"
"Navarro Correas","Argentina","185.00","88.50","7"
"Clos de los Siete","Argentina","195.00","90.00","8"
"Mascota","Argentina","196.32","88.21","9"
"Familia Villanueva","Argentina","200.00","90.00","10"
"Alma de los Andes","Argentina","200.00","88.25","11"
"Benvenuto de la Serna","Argentina","213.08","88.54","12"
"Bueyes","Argentina","220.00","90.00","13"
"Yacochuya","Argentina","220.00","90.00","13"
"Durigutti","Argentina","227.69","88.58","14"
"Milo","Argentina","230.00","89.00","15"
"Finca la Celia","Argentina","230.00","88.67","16"
"Belasco de Baquedano","Argentina","233.64","88.36","17"
"Los Vencejos","Argentina","235.00","90.00","18"
"Larrea","Argentina","240.00","89.00","19"
"Don Manuel Villafa?e","Argentina","240.91","89.45","20"
"McPherson Wine Company","Australia","123.33","89.00","1"
"Inkberry","Australia","140.00","89.00","2"
"9 Mile Road","Australia","146.67","89.33","3"
"Marquis Philips","Australia","150.00","93.00","4"
"Point Ormond","Australia","150.00","92.00","5"
"Beastly Vines","Australia","150.00","89.00","6"
"Franklin Tate","Australia","150.00","88.80","7"
"Killibinbin","Australia","150.00","88.50","8"
"McWilliam's","Australia","153.33","88.33","9"
"Rocky Gully","Australia","155.00","89.50","10"
"Chambers Rosewood Vineyards","Australia","156.67","89.17","11"
"Rocland Estate","Australia","158.75","88.13","12"
"Cheviot Bridge","Australia","160.00","90.00","13"
"Ross Estate","Australia","160.00","88.50","14"
"Marlargo","Australia","162.86","88.29","15"
"Thomas Goss","Australia","163.33","89.00","16"
"Piping Shrike","Australia","170.00","90.00","17"
"Heritage Road","Australia","170.00","89.60","18"
"Insurrection","Australia","170.00","89.33","19"
"Winner's Tank","Australia","170.00","89.00","20"
"Earthworks","Australia","177.50","89.75","21"
"Cascabel","Australia","180.00","92.00","22"
"Criterion","Australia","180.00","90.00","23"
"Wit's End","Australia","180.00","89.50","24"
"Hungerford Hill","Australia","182.00","88.80","25"
"Tait Wines","Australia","185.00","89.50","26"
"Wildberry Estate","Australia","187.50","88.75","27"
"Rubus","Australia","190.00","92.00","28"
"Three Bridges","Australia","190.00","91.00","29"
"Mitchell","Australia","190.00","90.00","30"
"The Black Chook","Australia","193.33","89.33","31"
"Inkwell","Australia","200.00","91.00","32"
"Atze's Corner","Australia","200.00","90.50","33"
"Charles Cimicky","Australia","200.00","90.00","34"
"Hesketh","Australia","200.00","90.00","34"
"The Lucky Country","Australia","200.00","90.00","34"
"3 Rings","Australia","200.00","89.25","35"
"Lake Breeze","Australia","200.00","89.00","36"
"Rosedale Wines","Australia","200.00","88.33","37"
"Campbells","Australia","201.43","88.43","38"
"Sidewood","Australia","202.86","88.79","39"
"Plantagenet","Australia","203.46","89.04","40"
"Riposte","Australia","206.67","88.33","41"
"Leasingham","Australia","207.14","88.57","42"
"Kurtz Family","Australia","210.00","90.00","43"
"Maverick","Australia","215.00","89.67","44"
"Sandalford","Australia","216.00","88.20","45"
"Fairbank Sutton Grange","Australia","220.00","89.33","46"
"Fetish","Australia","220.00","89.00","47"
"Epicurean","Australia","220.00","89.00","47"
"A.T. Richardson","Australia","220.00","89.00","47"
"Morambro Creek","Australia","223.33","88.33","48"
"Mount Langi Ghiran","Australia","227.78","88.44","49"
"One Million Cuttings","Australia","230.00","90.00","50"
"Meerea Park","Australia","230.00","90.00","50"
"Yalumba","Australia","233.45","88.93","51"
"Groom","Australia","236.00","90.20","52"
"Pikes","Australia","237.78","89.44","53"
"Silkman","Australia","240.00","92.00","54"
"Schild Estate","Australia","241.00","88.40","55"
"Elderton","Australia","243.33","89.00","56"
